"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX6932023","GSM4104266: WTAL1: Wild-type, ammonia, low oxygen, biological replicate 1; Methylobacter tundripaludum 31/32; RNA-Seq","Methylobacter tundripaludum 31/32","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462267","","2951.91","1","24735100","7420530000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6932022","GSM4104265: WTNL1: Wild-type, nitrate, low oxygen, biological replicate 1; Methylobacter tundripaludum 31/32; RNA-Seq","Methylobacter tundripaludum 31/32","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462266","","2719.12","1","22884561","6865368300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6932021","GSM4104264: MUAH1: Mutant (hcp/hcr), ammonia, high oxygen, biological replicate 1; Methylobacter tundripaludum 31/32; RNA-Seq","Methylobacter tundripaludum 31/32","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462265","","2974.96","1","24902081","7470624300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6932020","GSM4104263: MUNH1: Mutant (hcp/hcr), nitrate, high oxygen, biological replicate 1; Methylobacter tundripaludum 31/32; RNA-Seq","Methylobacter tundripaludum 31/32","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462264","","2582.29","1","21960978","6588293400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6932019","GSM4104262: WTAH1: Wild-type, ammonia, high oxygen, biological replicate 1; Methylobacter tundripaludum 31/32; RNA-Seq","Methylobacter tundripaludum 31/32","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462263","","3654.68","1","30878325","9263497500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6932018","GSM4104261: WTNH1: Wild-type, nitrate, high oxygen, biological replicate 1; Methylobacter tundripaludum 31/32; RNA-Seq","Methylobacter tundripaludum 31/32","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462262","","3024.24","1","25314176","7594252800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6260629","Trace experiment for center TIGR, GENOMIC, species METHYLOCOCCUS CAPSULATUS STR. BATH  ","Methylococcus capsulatus str. Bath","AB 310 Genetic Analyzer","TIGR","SRP211351","Sequencing METHYLOCOCCUS CAPSULATUS STR. BATH","SRS5013857","","10.19","1","505","454526","","WGA","GENOMIC","unspecified"
"SRX6260628","Trace experiment for center TIGR, GENOMIC, species METHYLOCOCCUS CAPSULATUS STR. BATH  ","Methylococcus capsulatus str. Bath","AB 310 Genetic Analyzer","TIGR","SRP211351","Sequencing METHYLOCOCCUS CAPSULATUS STR. BATH","SRS5013857","","3.01","1","136","132195","","FINISHING","GENOMIC","unspecified"
"SRX5732709","Resequencing of 5GB1C lanthanum mutant 16","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","University of Washington","SRP193793","""Methylotuvimicrobium buryatense"" 5GB1C lanthanum-response repressor mutants","SRS4670099","","236.03","1","1722335","475211034","JG3u16","WGS","GENOMIC","PCR"
"SRX5732708","Resequencing of 5GB1C lanthanum mutant 15","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","University of Washington","SRP193793","""Methylotuvimicrobium buryatense"" 5GB1C lanthanum-response repressor mutants","SRS4670099","","228.03","1","1683699","457512079","JG3u15","WGS","GENOMIC","PCR"
"SRX5732707","Resequencing of 5GB1C lanthanum mutant 11","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","University of Washington","SRP193793","""Methylotuvimicrobium buryatense"" 5GB1C lanthanum-response repressor mutants","SRS4670099","","196.88","1","1455369","396318998","JG3u11","WGS","GENOMIC","PCR"
"SRX5732706","Resequencing of 5GB1C lanthanum mutant 8","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","University of Washington","SRP193793","""Methylotuvimicrobium buryatense"" 5GB1C lanthanum-response repressor mutants","SRS4670099","","220.74","1","1636309","444671604","JG3u8","WGS","GENOMIC","PCR"
"SRX5732705","Resequencing of 5GB1C lanthanum mutant 7","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","University of Washington","SRP193793","""Methylotuvimicrobium buryatense"" 5GB1C lanthanum-response repressor mutants","SRS4670099","","213.6","1","1572486","427289100","JG3u7","WGS","GENOMIC","PCR"
"SRX5732704","Resequencing of 5GB1C lanthanum mutant 5","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","University of Washington","SRP193793","""Methylotuvimicrobium buryatense"" 5GB1C lanthanum-response repressor mutants","SRS4670099","","258.98","1","1955073","526563393","JG3u5","WGS","GENOMIC","PCR"
"SRX5732703","Resequencing of 5GB1C lanthanum mutant 3","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","University of Washington","SRP193793","""Methylotuvimicrobium buryatense"" 5GB1C lanthanum-response repressor mutants","SRS4670099","","179.79","1","1296852","355163173","JG3u3","WGS","GENOMIC","PCR"
"SRX5732702","Resequencing of 5GB1C lanthanum mutant 2","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","University of Washington","SRP193793","""Methylotuvimicrobium buryatense"" 5GB1C lanthanum-response repressor mutants","SRS4670099","","216.21","1","1572770","433974431","JG3u2","WGS","GENOMIC","PCR"
"SRX2033440","GSM2283342: MIX_31_JLW8_BR2; Methylobacter tundripaludum; Methylotenera mobilis; RNA-Seq","Methylobacter tundripaludum","Illumina HiSeq 2500","GEO","SRP082361","A transcriptomics approach to compare transcriptomes of individual methylotrophs from Lake Washington sediment in artificial communities and in pure cultures.","SRS1627384","","944.23","2","36984694","1886219394","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2033439","GSM2283341: MIX_31_JLW8_BR1; Methylobacter tundripaludum; Methylotenera mobilis; RNA-Seq","Methylobacter tundripaludum","Illumina HiSeq 2500","GEO","SRP082361","A transcriptomics approach to compare transcriptomes of individual methylotrophs from Lake Washington sediment in artificial communities and in pure cultures.","SRS1627383","","942.97","2","36810763","1877348913","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2033438","GSM2283340: MIX_31_13_BR2; Methylobacter tundripaludum; Methylotenera mobilis; RNA-Seq","Methylobacter tundripaludum","Illumina HiSeq 2500","GEO","SRP082361","A transcriptomics approach to compare transcriptomes of individual methylotrophs from Lake Washington sediment in artificial communities and in pure cultures.","SRS1627382","","948.66","2","37154243","1894866393","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2033437","GSM2283339: MIX_31_13_BR1; Methylobacter tundripaludum; Methylotenera mobilis; RNA-Seq","Methylobacter tundripaludum","Illumina HiSeq 2500","GEO","SRP082361","A transcriptomics approach to compare transcriptomes of individual methylotrophs from Lake Washington sediment in artificial communities and in pure cultures.","SRS1627381","","973.85","2","38154677","1945888527","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2033432","GSM2283334: MB_31_BR2; Methylobacter tundripaludum; RNA-Seq","Methylobacter tundripaludum","Illumina HiSeq 2500","GEO","SRP082361","A transcriptomics approach to compare transcriptomes of individual methylotrophs from Lake Washington sediment in artificial communities and in pure cultures.","SRS1627376","","916.54","2","35201673","1795285323","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX2033431","GSM2283333: MB_31_BR1; Methylobacter tundripaludum; RNA-Seq","Methylobacter tundripaludum","Illumina HiSeq 2500","GEO","SRP082361","A transcriptomics approach to compare transcriptomes of individual methylotrophs from Lake Washington sediment in artificial communities and in pure cultures.","SRS1627375","","997.51","2","38943336","1986110136","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1058946","GSM1711686: Methylohalobius_crimeensis_strain_10Ki_native; Methylohalobius crimeensis 10Ki; OTHER","Methylohalobius crimeensis 10Ki","PacBio RS II","GEO","SRP059508","The Epigenomic Landscape of Prokaryotes","SRS961244","","303.94","1","147692","446789879","","OTHER","GENOMIC","other"
"SRX1058941","GSM1711681: Methylobacter_tundripaludum_21_22_native; Methylobacter tundripaludum 21/22; OTHER","Methylobacter tundripaludum 21/22","PacBio RS II","GEO","SRP059508","The Epigenomic Landscape of Prokaryotes","SRS961249","","430.38","1","235904","634410255","","OTHER","GENOMIC","other"
"SRX5425005","Methylococcaceae bacterium UWMA-0005","Methylococcaceae bacterium","Illumina HiSeq 2000","University of Wisconsin-Madison","SRP186792","Novel microbes from Hydrothermal ecosystems","SRS4405004","","36.25","1","391693","72516083","UWMA-0005-SRR1217460_SRR1217463_SRR1217565","WGS","METAGENOMIC","RANDOM"
"SRX5424949","Methylococcaceae bacterium UWMA-0047","Methylococcaceae bacterium","Illumina HiSeq 2000","University of Wisconsin-Madison","SRP186792","Novel microbes from Hydrothermal ecosystems","SRS4404948","","35.65","1","377345","70672191","UWMA-0047-SRR1217367_SRR1217459_SRR1217564_SRR1217566","WGS","METAGENOMIC","RANDOM"
"SRX5424899","Methylococcaceae bacterium UWMA-0107","Methylococcaceae bacterium","Illumina HiSeq 2000","University of Wisconsin-Madison","SRP186792","Novel microbes from Hydrothermal ecosystems","SRS4404898","","16.76","1","178956","33255593","UWMA-0107-SRR1217461_SRR1217465","WGS","METAGENOMIC","RANDOM"
"SRX5424887","Methylococcaceae bacterium UWMA-0348","Methylococcaceae bacterium","Illumina HiSeq 2000","University of Wisconsin-Madison","SRP186792","Novel microbes from Hydrothermal ecosystems","SRS4404886","","10.36","1","93908","16780181","UWMA-0348-SRR3577362","WGS","METAGENOMIC","RANDOM"
"SRX5424864","Methyloprofundus sp. UWMA-0312","Methyloprofundus sp.","Illumina HiSeq 2000","University of Wisconsin-Madison","SRP186792","Novel microbes from Hydrothermal ecosystems","SRS4404863","","23.65","1","212824","40420067","UWMA-0312-SRR3577362","WGS","METAGENOMIC","RANDOM"
"SRX5424797","Methylococcaceae bacterium UWMA-0327","Methylococcaceae bacterium","Illumina HiSeq 2000","University of Wisconsin-Madison","SRP186792","Novel microbes from Hydrothermal ecosystems","SRS4404796","","82.66","1","753812","137275237","UWMA-0327-SRR3577362","WGS","METAGENOMIC","RANDOM"
"SRX5424795","Methylococcaceae bacterium UWMA-0325","Methylococcaceae bacterium","Illumina HiSeq 2000","University of Wisconsin-Madison","SRP186792","Novel microbes from Hydrothermal ecosystems","SRS4404794","","34.67","1","310910","58041292","UWMA-0325-SRR3577362","WGS","METAGENOMIC","RANDOM"
"SRX5333117","Methylomonas bacterium JGI 01_C17","Methylomonas sp. JGI 01_C17","NextSeq 500","JGI","SRP183638","Methylomonas sp. JGI 01_C17 Genome sequencing","SRS4327419","","871.86","1","7846047","2369506194","BONUP","WGA","GENOMIC","other"
"SRX5311934","GSM3584850: 5GB1C-JG15-N-BR2: LanA mutant, no lanthanum added, biological replicate 2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2000","GEO","SRP182958","A mutagenic screen identifies a TonB-dependent receptor required for the lanthanide metal switch in the Type I methanotroph “Methylotuvimicrobium buryatense” 5GB1C","SRS4309188","","2813.94","1","25340011","7602003300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5311933","GSM3584849: 5GB1C-JG15-N-BR1 : LanA mutant, no lanthanum added, biological replicate 1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2000","GEO","SRP182958","A mutagenic screen identifies a TonB-dependent receptor required for the lanthanide metal switch in the Type I methanotroph “Methylotuvimicrobium buryatense” 5GB1C","SRS4309187","","3027.86","1","27199651","8159895300","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5311932","GSM3584848: 5GB1C-JG15-La-BR2 : LanA mutant, lanthanum added, biological replicate 2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2000","GEO","SRP182958","A mutagenic screen identifies a TonB-dependent receptor required for the lanthanide metal switch in the Type I methanotroph “Methylotuvimicrobium buryatense” 5GB1C","SRS4309186","","2788.86","1","24878332","7463499600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5311931","GSM3584847: 5GB1C-JG15-La-BR1 : LanA mutant, lanthanum added, biological replicate 1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2000","GEO","SRP182958","A mutagenic screen identifies a TonB-dependent receptor required for the lanthanide metal switch in the Type I methanotroph “Methylotuvimicrobium buryatense” 5GB1C","SRS4309185","","3046.76","1","27452766","8235829800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5311930","GSM3584846: 5GB1C-5G-N-BR2 : Wild-type, no lanthanum added, biological replicate 2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2000","GEO","SRP182958","A mutagenic screen identifies a TonB-dependent receptor required for the lanthanide metal switch in the Type I methanotroph “Methylotuvimicrobium buryatense” 5GB1C","SRS4309184","","3291.72","1","29734592","8920377600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5311929","GSM3584845: 5GB1C-5G-N-BR1 : Wild-type, no lanthanum added, biological replicate 1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2000","GEO","SRP182958","A mutagenic screen identifies a TonB-dependent receptor required for the lanthanide metal switch in the Type I methanotroph “Methylotuvimicrobium buryatense” 5GB1C","SRS4309183","","2764.92","1","24984880","7495464000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5311928","GSM3584844: 5GB1C-5G-La-BR2 : Wild-type, lanthanum added, biological replicate 2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2000","GEO","SRP182958","A mutagenic screen identifies a TonB-dependent receptor required for the lanthanide metal switch in the Type I methanotroph “Methylotuvimicrobium buryatense” 5GB1C","SRS4309182","","3668.9","1","33228618","9968585400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5311927","GSM3584843: 5GB1C-5G-La-BR1 : Wild-type, lanthanum added, biological replicate 1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2000","GEO","SRP182958","A mutagenic screen identifies a TonB-dependent receptor required for the lanthanide metal switch in the Type I methanotroph “Methylotuvimicrobium buryatense” 5GB1C","SRS4309181","","2965.57","1","26860958","8058287400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX5093064","RNA-seq of ZR1:methane,25 C","Methylomonas sp. ZR1","Illumina HiSeq 2500","Tianjin institute of industrial biotechnology","SRP172419","Genome-scale revealing the central metabolic network of the fast growing methanotroph Methylomonas sp. ZR1","SRS4104676","","1018.82","1","9897715","2969314500","N2","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX5093063","RNA-seq of ZR1:methane,25 C","Methylomonas sp. ZR1","Illumina HiSeq 2500","Tianjin institute of industrial biotechnology","SRP172419","Genome-scale revealing the central metabolic network of the fast growing methanotroph Methylomonas sp. ZR1","SRS4104675","","995.91","1","9617076","2885122800","N3","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX5093062","RNA-seq of ZR1:methanol,30 C","Methylomonas sp. ZR1","Illumina HiSeq 2500","Tianjin institute of industrial biotechnology","SRP172419","Genome-scale revealing the central metabolic network of the fast growing methanotroph Methylomonas sp. ZR1","SRS4104674","","1170.17","1","11624271","3487281300","MT1","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX5093061","RNA-seq of ZR1:methanol,30 C","Methylomonas sp. ZR1","Illumina HiSeq 2500","Tianjin institute of industrial biotechnology","SRP172419","Genome-scale revealing the central metabolic network of the fast growing methanotroph Methylomonas sp. ZR1","SRS4104672","","1138.77","1","11385123","3415536900","MT2","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX5093060","RNA-seq of ZR1:methanol,25 C","Methylomonas sp. ZR1","Illumina HiSeq 2500","Tianjin institute of industrial biotechnology","SRP172419","Genome-scale revealing the central metabolic network of the fast growing methanotroph Methylomonas sp. ZR1","SRS4104673","","1230.37","1","10359547","3107864100","M1","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX5093059","RNA-seq of ZR1:methanol,25 C","Methylomonas sp. ZR1","Illumina HiSeq 2500","Tianjin institute of industrial biotechnology","SRP172419","Genome-scale revealing the central metabolic network of the fast growing methanotroph Methylomonas sp. ZR1","SRS4104671","","1322.87","1","11112581","3333774300","M2","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX4993761","GSM3463548: wild type, with 3-OH-C10-HSL, replicate 2; Methylomonas sp. LW13; RNA-Seq","Methylomonas sp. LW13","Illumina HiSeq 2000","GEO","SRP168136","Interspecies chemical signalling in a methane-oxidizing bacterial community","SRS4029173","","4121.5","1","37341503","11202450900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4993760","GSM3463547: wild type, with 3-OH-C10-HSL, replicate 1; Methylomonas sp. LW13; RNA-Seq","Methylomonas sp. LW13","Illumina HiSeq 2000","GEO","SRP168136","Interspecies chemical signalling in a methane-oxidizing bacterial community","SRS4029172","","3359.32","1","30425266","9127579800","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4993759","GSM3463546: wild type, no 3-OH-C10-HSL, replicate 2; Methylomonas sp. LW13; RNA-Seq","Methylomonas sp. LW13","Illumina HiSeq 2000","GEO","SRP168136","Interspecies chemical signalling in a methane-oxidizing bacterial community","SRS4029171","","3478.52","1","31385798","9415739400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4993758","GSM3463545: wild type, no 3-OH-C10-HSL, replicate 1; Methylomonas sp. LW13; RNA-Seq","Methylomonas sp. LW13","Illumina HiSeq 2000","GEO","SRP168136","Interspecies chemical signalling in a methane-oxidizing bacterial community","SRS4029170","","3504.97","1","31754248","9526274400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4993757","GSM3463544: mmsR-, with 3-OH-C10-HSL, replicate 2; Methylomonas sp. LW13; RNA-Seq","Methylomonas sp. LW13","Illumina HiSeq 2000","GEO","SRP168136","Interspecies chemical signalling in a methane-oxidizing bacterial community","SRS4029169","","3032.04","1","27411109","8223332700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4993756","GSM3463543: mmsR-, with 3-OH-C10-HSL, replicate 1; Methylomonas sp. LW13; RNA-Seq","Methylomonas sp. LW13","Illumina HiSeq 2000","GEO","SRP168136","Interspecies chemical signalling in a methane-oxidizing bacterial community","SRS4029168","","3173.89","1","28719585","8615875500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4993755","GSM3463542: mmsR-, no 3-OH-C10-HSL, replicate 2; Methylomonas sp. LW13; RNA-Seq","Methylomonas sp. LW13","Illumina HiSeq 2000","GEO","SRP168136","Interspecies chemical signalling in a methane-oxidizing bacterial community","SRS4029167","","3087.54","1","27933902","8380170600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4993754","GSM3463541: mmsR-, no 3-OH-C10-HSL, replicate 1; Methylomonas sp. LW13; RNA-Seq","Methylomonas sp. LW13","Illumina HiSeq 2000","GEO","SRP168136","Interspecies chemical signalling in a methane-oxidizing bacterial community","SRS4029166","","2777.6","1","25121879","7536563700","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX4647460","Methylococcales bacterium SZUA-1040","Methylococcales bacterium","Illumina HiSeq 2000","The University of Hong Kong","SRP159840","hydrothermal vent metagenome Genome sequencing and assembly","SRS3745488","","57.56","1","1168250","110197588","SZUA-1040-SRR3577362","WGS","METAGENOMIC","RANDOM"
"SRX4647435","Methylococcales bacterium SZUA-1212","Methylococcales bacterium","Illumina HiSeq 2000","The University of Hong Kong","SRP159840","hydrothermal vent metagenome Genome sequencing and assembly","SRS3745464","","17.37","1","386120","37793002","SZUA-1212-SRR1217367_SRR1217459_SRR1217564_SRR1217566","WGS","METAGENOMIC","RANDOM"
"SRX4647394","Methylococcales bacterium SZUA-1072","Methylococcales bacterium","Illumina HiSeq 2000","The University of Hong Kong","SRP159840","hydrothermal vent metagenome Genome sequencing and assembly","SRS3745420","","50.76","1","1033774","98561518","SZUA-1072-SRR3577362","WGS","METAGENOMIC","RANDOM"
"SRX4647369","Methylococcales bacterium SZUA-1258","Methylococcales bacterium","Illumina HiSeq 2000","The University of Hong Kong","SRP159840","hydrothermal vent metagenome Genome sequencing and assembly","SRS3745395","","8.45","1","179604","17620786","SZUA-1258-SRR1217461_SRR1217465","WGS","METAGENOMIC","RANDOM"
"SRX4647321","Methylococcales bacterium SZUA-1047","Methylococcales bacterium","Illumina HiSeq 2000","The University of Hong Kong","SRP159840","hydrothermal vent metagenome Genome sequencing and assembly","SRS3745349","","19.72","1","387838","36622171","SZUA-1047-SRR3577362","WGS","METAGENOMIC","RANDOM"
"SRX4647312","Methylococcales bacterium SZUA-1314","Methylococcales bacterium","Illumina HiSeq 2000","The University of Hong Kong","SRP159840","hydrothermal vent metagenome Genome sequencing and assembly","SRS3745340","","11.84","1","260154","25565262","SZUA-1314-SRR1217460_SRR1217463_SRR1217565","WGS","METAGENOMIC","RANDOM"
"SRX4642492","Crenotrichaceae bacterium HyVt-476","Crenotrichaceae bacterium","Illumina HiSeq 2500","The University of Hong Kong","SRP154410","Metagenome-assembled genomes from hydrothermal vent and freshwater spring sediments","SRS3740602","","16.53","1","282390","42358500","HyVt-476-SRR4453772","WGS","METAGENOMIC","RANDOM"
"SRX4641932","Methylothermaceae bacterium HyVt-524","Methylothermaceae bacterium","Illumina HiSeq 2500","The University of Hong Kong","SRP154410","Metagenome-assembled genomes from hydrothermal vent and freshwater spring sediments","SRS3740047","","79.62","1","1433430","215014500","HyVt-524-SRR4453772","WGS","METAGENOMIC","RANDOM"
"SRX4641882","Methylothermaceae bacterium HyVt-438","Methylothermaceae bacterium","Illumina HiSeq 2500","The University of Hong Kong","SRP154410","Metagenome-assembled genomes from hydrothermal vent and freshwater spring sediments","SRS3739998","","8.94","1","147036","22055400","HyVt-438-SRR4453772","WGS","METAGENOMIC","RANDOM"
"ERX2432984","Illumina MiSeq paired end sequencing","Methylobacter capsulatus","Illumina MiSeq","NIOO KNAW","ERP107457","Effect of salt stress on aerobic methane oxidation and associated methanotrophs; a microcosm study of a natural community from a non-saline environment","ERS2281635","","234.49","1","715785","367710239","unspecified","AMPLICON","METAGENOMIC","PCR"
"SRX3784410","Genome sequencing of Methylomonas sp. DH-1","Methylomonas sp. DH-1","PacBio RS II","Korea Research Institute of Bioscience and Biotech","SRP135166","Methylomonas sp. DH-1 Genome sequencing and assembly","SRS3037585","","6031.04","1","163482","1774287124","DH-1_PacBio","WGS","GENOMIC","RANDOM"
"SRX3784409","Genome sequencing of Methylomonas sp. DH-1","Methylomonas sp. DH-1","Illumina HiSeq 2500","Korea Research Institute of Bioscience and Biotech","SRP135166","Methylomonas sp. DH-1 Genome sequencing and assembly","SRS3037585","","1034.73","1","5357118","1617849636","DH-1_Illumina","WGS","GENOMIC","RANDOM"
"SRX3689013","GSM2995402: 5GB1_FM21_TR2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP132787","Core metabolism shifts of methanol vs. methane growth in the methanotroph Methylomicrobium buryatense 5GB1","SRS2948621","","995.63","1","40897711","1472317596","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3689012","GSM2995401: 5GB1_FM21_TR1; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP132787","Core metabolism shifts of methanol vs. methane growth in the methanotroph Methylomicrobium buryatense 5GB1","SRS2948620","","1110.14","1","45765117","1647544212","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3689011","GSM2995400: 5GB1_FM20_TR3; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP132787","Core metabolism shifts of methanol vs. methane growth in the methanotroph Methylomicrobium buryatense 5GB1","SRS2948619","","1360.05","1","55844593","2010405348","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3689010","GSM2995399: 5GB1_FM23_TR3; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP132787","Core metabolism shifts of methanol vs. methane growth in the methanotroph Methylomicrobium buryatense 5GB1","SRS2948618","","492.15","1","20051980","721871280","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3689009","GSM2995398: 5GB1_FM18_TR3; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP132787","Core metabolism shifts of methanol vs. methane growth in the methanotroph Methylomicrobium buryatense 5GB1","SRS2948617","","507.4","1","20753213","747115668","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3689008","GSM2995397: 5GB1_FM18_TR2; Methylomicrobium buryatense; RNA-Seq","Methylotuvimicrobium buryatense","Illumina HiSeq 2500","GEO","SRP132787","Core metabolism shifts of methanol vs. methane growth in the methanotroph Methylomicrobium buryatense 5GB1","SRS2948616","","756.92","1","31219752","1123911072","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX3578166","Mapped reads for uncultivated Methylococcaceae bacterium UBA12269 genome recovered from SRX1122679","Methylococcaceae bacterium","Illumina HiSeq 2000","University of Queensland","SRP130174","Collection of 3,087 bacterial metagenome-assembled genomes recovered from metagenomes available from the Sequence Read Archive.","SRS2847896","","27.73","1","571899","108224100","UBA12269_library","WGS","METAGENOMIC","RANDOM"
"SRX3576434","Mapped reads for uncultivated Methylococcaceae bacterium UBA8825 genome recovered from SRX1162701","Methylococcaceae bacterium","Illumina HiSeq 2000","University of Queensland","SRP130174","Collection of 3,087 bacterial metagenome-assembled genomes recovered from metagenomes available from the Sequence Read Archive.","SRS2846316","","21.34","1","201075","38262739","UBA8825_library","WGS","METAGENOMIC","RANDOM"
"SRX3576384","Mapped reads for uncultivated Methylococcaceae bacterium UBA9142 genome recovered from ERX556059","Methylococcaceae bacterium","Illumina HiSeq 2000","University of Queensland","SRP130174","Collection of 3,087 bacterial metagenome-assembled genomes recovered from metagenomes available from the Sequence Read Archive.","SRS2846266","","9.29","1","98978","19050320","UBA9142_library","WGS","METAGENOMIC","RANDOM"
"SRX3572405","Mapped reads for uncultivated Methylococcaceae bacterium UBA10906 genome recovered from SRX699559","Methylococcaceae bacterium","Illumina HiSeq 2000","University of Queensland","SRP130174","Collection of 3,087 bacterial metagenome-assembled genomes recovered from metagenomes available from the Sequence Read Archive.","SRS2843375","","6.5","1","88816","14603111","UBA10906_library","WGS","METAGENOMIC","RANDOM"
"ERX2160408","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883861","","5.83","1","20795","10164779","unspecified","AMPLICON","GENOMIC","PCR"
"ERX2160407","Illumina MiSeq paired end sequencing","methanotroph 'isolate 2'","Illumina MiSeq","Institue of soil science","ERP039584","Study type II and I methanotrophs in paddy soils","ERS1883860","","36.77","1","133279","65158571","unspecified","AMPLICON","GENOMIC","PCR"
